time,baro_altitude,accl_x,accl_y,accl_z,gps_altitude,gyro_roll,gyro_pitch,gyro_yaw,At,T,P,rho,a
0.0,0.0,0.186684855,9.798560715,0.914277132,0.0,-0.001318426,0.001675807,0.000119177,9.84289317196554,288.15,101325.0,1.2250122659906946,340.29228686527705
0.1659999999999999,0.0,0.157964115,9.812920856,0.895129935,0.0,-0.000329391,0.000127902,0.000650022,9.854929019951419,288.15,101325.0,1.2250122659906946,340.29228686527705
0.909,-0.014635757,0.162750896,9.803348207,0.895129935,0.0,-0.000329391,0.000127902,0.000650022,9.845475180120664,288.15,101325.0,1.2250122659906946,340.29228686527705
0.939,0.14469552,0.162750896,9.798560715,0.890343173,0.0,-0.001394655,-0.001469995,0.001715286,9.840273924307079,288.14905947911996,101323.26174622469,1.2249952490037952,340.2917315082368
0.973,0.14469552,0.181898074,9.812920856,0.899916698,0.0,-0.000329391,-0.002535259,0.001715286,9.855777630343733,288.14905947911996,101323.26174622469,1.2249952490037952,340.2917315082368
1.025,0.200412139,0.172324476,9.803348207,0.909490296,0.0,0.000735874,-0.001469995,0.000117389,9.846954066676506,288.14869732109645,101322.59241871811,1.224988696471985,340.2915176615912
1.076,0.206649095,0.177111275,9.817708349,0.895129935,0.0,0.000203241,0.002258431,0.000650022,9.86002146195887,288.1486567808825,101322.51749396742,1.2249879629788138,340.2914937234448
1.125,0.206649095,0.157964115,9.812920856,0.875982812,0.0,0.001268506,0.000660534,-0.000947875,9.853208323925104,288.1486567808825,101322.51749396742,1.2249879629788138,340.2914937234448
1.174,0.206649095,0.157964115,9.803348207,0.890343173,0.0,0.000203241,0.001725798,0.000650022,9.844963163721111,288.1486567808825,101322.51749396742,1.2249879629788138,340.2914937234448
1.225,0.158832535,0.181898074,9.793774974,0.909490296,0.0,0.001268506,-0.002002627,0.000117389,9.837595628464904,288.14896758852245,101323.09191696985,1.2249935864229782,340.29167724879716
1.436,0.200412139,0.143603736,9.788987482,0.909490296,0.0,0.000202412,0.002258807,-0.000417381,9.832195612082991,288.14869732109645,101322.59241871811,1.224988696471985,340.2915176615912
1.477,0.200412139,0.148390526,9.803348207,0.899916698,0.0,-0.00033022,0.002258807,-0.000417381,9.84568463232679,288.14869732109645,101322.59241871811,1.224988696471985,340.2915176615912
