t,h,P,T,ρ,a,Vx,Ax,Ay,Az,At
0.00,6.100,100.869,14.960,1.224,340.27,0.112,1.615,9.013,0.000,9.156
0.05,7.000,100.860,14.955,1.224,340.27,4.142,7.068,46.620,-4.901,47.407
0.10,8.200,100.850,14.947,1.224,340.26,9.801,6.279,196.642,-7.943,196.902
0.15,9.800,100.832,14.936,1.224,340.25,16.441,5.095,185.921,-3.028,186.016
0.20,11.600,100.801,14.925,1.224,340.25,22.31,5.303,186.510,0.675,186.586
0.25,13.700,100.784,14.911,1.223,340.24,27.104,5.052,192.566,1.629,192.639
0.30,15.200,100.751,14.901,1.223,340.23,33.188,6.207,189.674,0.316,189.776
0.35,17.100,100.729,14.889,1.223,340.23,39.17,5.166,184.902,-0.100,184.974
0.40,18.900,100.695,14.877,1.223,340.22,45.613,4.707,180.618,3.846,180.721
0.45,21.300,100.640,14.862,1.222,340.21,49.829,5.748,180.855,3.581,180.982
0.50,23.500,100.555,14.847,1.222,340.20,56.817,5.138,169.977,7.391,170.215
0.55,25.600,100.534,14.834,1.222,340.19,61.6,7.147,154.427,9.149,154.863
0.60,27.700,100.530,14.820,1.222,340.19,67.713,9.687,134.522,6.286,135.017
0.65,30.200,100.520,14.804,1.221,340.18,72.87,8.726,101.557,3.638,101.996
0.70,32.600,100.510,14.788,1.221,340.17,77.636,4.865,73.005,6.013,73.414
0.75,35.400,100.505,14.770,1.221,340.16,81.588,8.553,48.507,8.668,50.013
0.80,37.800,100.500,14.754,1.221,340.15,86.72,10.821,31.573,5.941,33.900
0.85,39.900,100.469,14.741,1.220,340.14,89.93,9.077,20.515,5.324,23.057
0.90,42.400,100.420,14.724,1.220,340.13,93.299,9.895,12.443,7.348,17.514
0.95,45.400,100.380,14.705,1.220,340.12,97.329,13.375,5.741,4.133,15.131
1.00,47.900,100.349,14.689,1.219,340.11,99.221,13.096,2.167,2.763,13.558
1.05,50.300,100.289,14.673,1.219,340.10,99.541,15.542,-1.744,3.817,16.099
1.10,52.400,100.240,14.659,1.219,340.09,98.969,26.435,-5.281,2.246,27.051
1.15,55.200,100.220,14.641,1.219,340.08,98.079,36.976,-3.645,-3.789,37.348
1.20,58.200,100.174,14.622,1.218,340.07,97.456,28.631,-2.239,-1.571,28.761
1.25,61.300,100.130,14.602,1.218,340.06,96.77,27.712,5.705,-9.651,29.894
1.30,64.300,100.115,14.582,1.217,340.05,95.991,9.960,-8.553,-0.918,13.161
1.35,67.700,100.000,14.560,1.217,340.03,95.216,10.641,-7.778,-1.808,13.305
1.40,71.000,99.990,14.539,1.217,340.02,94.445,11.086,-6.645,-2.318,13.131
1.45,74.400,99.980,14.516,1.216,340.01,93.718,7.621,-7.750,-1.672,10.997
1.50,78.000,99.970,14.493,1.216,339.99,92.957,8.575,-7.664,-1.349,11.579
1.55,81.700,99.962,14.469,1.215,339.98,92.201,9.788,-7.334,-1.500,12.322
1.60,85.600,99.897,14.444,1.215,339.96,91.45,7.965,-7.032,-1.722,10.764
1.65,90.500,99.822,14.412,1.214,339.94,90.703,8.252,-6.645,-0.983,10.640
1.70,95.400,99.771,14.380,1.214,339.93,89.969,9.149,-6.874,-1.270,11.514
1.75,100.600,99.714,14.346,1.213,339.91,89.232,7.161,-6.738,-1.672,9.974
1.80,105.200,99.657,14.316,1.213,339.89,88.498,6.874,-6.666,-1.076,9.636
1.85,109.700,99.601,14.287,1.212,339.87,87.768,7.298,-6.759,-0.861,9.984
1.90,114.600,99.540,14.255,1.212,339.85,87.042,6.659,-6.587,-1.457,9.479
1.95,119.200,99.501,14.225,1.211,339.83,86.32,7.943,-6.114,-0.883,10.063
2.00,123.400,99.440,14.198,1.211,339.82,85.603,6.831,-6.128,-0.868,9.218
2.05,127.700,99.394,14.170,1.210,339.80,84.889,5.941,-5.999,-0.574,8.463
2.10,132.000,99.334,14.142,1.210,339.79,84.18,7.542,-5.669,-0.373,9.442
2.15,136.200,99.294,14.115,1.209,339.77,83.475,7.061,-5.281,-0.753,8.850
2.20,140.500,99.250,14.087,1.209,339.75,82.773,7.312,-5.439,-0.976,9.165
2.25,144.500,99.195,14.061,1.208,339.74,82.075,6.573,-5.245,-0.653,8.435
2.30,148.700,99.145,14.033,1.208,339.72,81.381,6.781,-5.690,-0.997,8.908
2.35,152.700,99.103,14.007,1.207,339.71,80.69,6.666,-5.281,-0.373,8.513
2.40,156.700,99.058,13.981,1.207,339.69,80.002,7.032,-5.461,-0.768,8.936
2.45,160.600,99.008,13.956,1.206,339.68,79.318,6.451,-4.793,-0.997,8.098
2.50,164.600,98.957,13.930,1.206,339.66,78.638,6.056,-4.958,-0.560,7.847
2.55,168.600,98.912,13.904,1.205,339.64,77.961,6.035,-4.657,-0.596,7.646
2.60,172.500,98.869,13.879,1.205,339.63,77.288,6.085,-4.535,-0.926,7.645
2.65,176.200,98.828,13.855,1.204,339.62,76.618,6.164,-4.334,-0.459,7.549
2.70,180.100,98.777,13.829,1.204,339.60,75.952,6.128,-4.291,-0.653,7.509
2.75,183.800,98.723,13.805,1.204,339.59,75.288,5.877,-4.305,-0.596,7.309
2.80,187.500,98.689,13.781,1.203,339.57,74.628,5.741,-4.542,-0.466,7.335
2.85,191.100,98.647,13.758,1.203,339.56,73.97,5.597,-4.427,-0.466,7.152
2.90,194.800,98.607,13.734,1.202,339.54,73.315,5.554,-3.789,-0.660,6.756
2.95,198.400,98.562,13.710,1.202,339.53,72.664,4.958,-4.714,-0.502,6.860
3.00,202.100,98.519,13.686,1.201,339.52,72.015,5.475,-4.061,-0.983,6.887
3.05,205.400,98.475,13.665,1.201,339.50,71.369,5.023,-4.076,-0.100,6.469
3.10,208.800,98.436,13.643,1.201,339.49,70.727,4.485,-4.348,-0.481,6.265
3.15,212.400,98.390,13.619,1.200,339.48,70.088,5.059,-3.990,-0.517,6.463
3.20,215.800,98.365,13.597,1.200,339.46,69.451,5.346,-3.703,-0.997,6.579
3.25,219.200,98.321,13.575,1.199,339.45,68.817,4.076,-3.904,-0.502,5.666
3.30,222.500,98.276,13.554,1.199,339.44,68.186,3.789,-4.119,-0.237,5.601
3.35,225.900,98.246,13.532,1.199,339.42,67.557,4.557,-3.559,-0.387,5.795
3.40,229.200,98.201,13.510,1.198,339.41,66.931,3.566,-3.889,-0.603,5.311
3.45,232.300,98.167,13.490,1.198,339.40,66.308,3.817,-3.925,-0.517,5.500
3.50,235.300,98.121,13.471,1.198,339.39,65.687,4.334,-3.408,-0.732,5.562
3.55,238.700,98.091,13.448,1.197,339.37,65.068,3.430,-3.200,-0.158,4.694
3.60,241.700,98.055,13.429,1.197,339.36,64.452,4.313,-3.566,-1.098,5.703
3.65,244.800,98.018,13.409,1.196,339.35,63.839,4.061,-3.014,-0.675,5.102
3.70,247.800,97.982,13.389,1.196,339.34,63.228,3.215,-3.394,-0.352,4.688
3.75,250.900,97.946,13.369,1.196,339.33,62.619,3.330,-2.777,-0.560,4.372
3.80,253.900,97.915,13.350,1.195,339.32,62.013,3.358,-2.720,-0.423,4.342
3.85,256.600,97.882,13.332,1.195,339.31,61.409,3.581,-3.028,-0.524,4.719
3.90,259.700,97.843,13.312,1.195,339.29,60.808,2.684,-2.698,-0.560,3.846
3.95,262.400,97.812,13.294,1.194,339.28,60.208,2.698,-2.935,-0.344,4.001
4.00,265.200,97.783,13.276,1.194,339.27,59.611,2.777,-2.755,-0.732,3.980
4.05,267.900,97.750,13.259,1.194,339.26,59.017,2.612,-3.143,-0.172,4.090
4.10,270.700,97.718,13.240,1.193,339.25,58.424,2.605,-2.648,-0.466,3.743
4.15,273.400,97.681,13.223,1.193,339.24,57.834,2.440,-2.583,-0.689,3.619
4.20,276.100,97.644,13.205,1.193,339.23,57.245,2.124,-2.777,-0.194,3.501
4.25,278.600,97.618,13.189,1.193,339.22,56.659,2.985,-2.799,-0.574,4.132
4.30,281.300,97.595,13.172,1.192,339.21,56.074,2.842,-2.992,-0.100,4.128
4.35,283.800,97.567,13.155,1.192,339.20,55.492,2.834,-2.626,-0.918,3.972
4.40,286.500,97.539,13.138,1.192,339.19,54.911,2.511,-2.583,0.007,3.603
4.45,289.000,97.503,13.122,1.191,339.18,54.332,1.155,-2.418,0.560,2.738
4.50,291.400,97.475,13.106,1.191,339.17,53.756,3.071,-2.318,-0.294,3.859
4.55,293.500,97.447,13.092,1.191,339.16,53.181,2.067,-2.318,0.029,3.105
4.60,296.000,97.426,13.076,1.191,339.15,52.608,1.866,-2.382,-0.344,3.045
4.65,298.100,97.391,13.062,1.190,339.15,52.037,1.672,-2.268,-0.423,2.849
4.70,300.500,97.357,13.047,1.190,339.14,51.468,1.801,-2.526,0.423,3.131
4.75,302.700,97.340,13.032,1.190,339.13,50.901,1.844,-2.361,0.144,2.999
4.80,305.100,97.321,13.017,1.190,339.12,50.335,2.569,-2.203,-0.689,3.453
4.85,307.200,97.302,13.003,1.189,339.11,49.771,2.684,-2.110,0.022,3.414
4.90,309.400,97.265,12.989,1.189,339.10,49.209,1.937,-2.110,-0.596,2.926
4.95,311.500,97.240,12.975,1.189,339.09,48.649,2.095,-1.995,0.373,2.917
5.00,313.300,97.220,12.964,1.189,339.09,48.09,1.973,-1.894,-0.029,2.736
5.05,315.500,97.192,12.949,1.188,339.08,47.533,1.629,-1.629,-0.574,2.374
5.10,317.300,97.166,12.938,1.188,339.07,46.977,1.787,-2.031,0.122,2.708
5.15,319.400,97.147,12.924,1.188,339.06,46.423,1.894,-2.038,-0.344,2.804
5.20,321.300,97.128,12.912,1.188,339.06,45.87,1.378,-1.686,-0.043,2.178
5.25,323.100,97.108,12.900,1.187,339.05,45.318,1.292,-1.780,-0.517,2.259
5.30,324.900,97.084,12.888,1.187,339.04,44.768,1.607,-1.686,-0.022,2.330
5.35,326.700,97.067,12.876,1.187,339.04,44.22,1.672,-1.866,0.194,2.513
5.40,328.600,97.041,12.864,1.187,339.03,43.673,1.478,-1.636,0.086,2.207
5.45,330.400,97.025,12.852,1.187,339.02,43.127,1.729,-1.665,-0.043,2.401
5.50,332.200,97.005,12.841,1.186,339.01,42.583,2.167,-1.787,0.287,2.823
5.55,333.800,96.984,12.830,1.186,339.01,42.041,1.234,-1.363,0.158,1.846
5.60,335.600,96.961,12.819,1.186,339.00,41.5,1.320,-1.435,-0.122,1.954
5.65,337.100,96.943,12.809,1.186,339.00,40.96,1.134,-1.213,-0.172,1.669
5.70,338.900,96.923,12.797,1.186,338.99,40.422,1.693,-1.306,0.258,2.154
5.75,340.500,96.903,12.787,1.185,338.98,39.885,1.249,-1.363,0.086,1.851
5.80,342.300,96.884,12.775,1.185,338.98,39.349,1.270,-1.263,-0.237,1.807
5.85,343.800,96.869,12.765,1.185,338.97,38.815,1.378,-1.270,-0.431,1.923
5.90,345.300,96.848,12.756,1.185,338.96,38.281,0.940,-1.442,-0.079,1.723
5.95,346.900,96.829,12.745,1.185,338.96,37.749,0.904,-1.033,-0.330,1.412
6.00,348.400,96.816,12.735,1.185,338.95,37.219,0.832,-1.191,-0.423,1.514
6.05,349.900,96.790,12.726,1.184,338.95,36.689,1.571,-1.571,0.524,2.283
6.10,351.400,96.783,12.716,1.184,338.94,36.16,0.517,-1.521,0.316,1.637
6.15,352.700,96.768,12.707,1.184,338.94,35.633,1.636,-1.557,0.344,2.285
6.20,354.200,96.748,12.698,1.184,338.93,35.107,0.847,-1.098,-0.136,1.393
6.25,355.700,96.731,12.688,1.184,338.92,34.582,0.675,-1.134,-0.294,1.352
6.30,356.900,96.715,12.680,1.184,338.92,34.057,0.962,-0.962,0.022,1.360
6.35,358.100,96.699,12.672,1.183,338.92,33.534,1.098,-1.040,0.122,1.517
6.40,359.400,96.682,12.664,1.183,338.91,33.012,0.617,-0.918,0.466,1.201
6.45,360.900,96.669,12.654,1.183,338.90,32.491,1.636,-0.926,0.144,1.885
